,0
441,"['hydration', 'a', 'well', 'a', 'texture', 'of', 'my', 'skin']"
442,"['difference', 'in', 'hydration', 'a', 'well', 'a', 'texture']"
443,"['this', 'ha', 'made', 'them', 'smoother', 'than', 'anything', 'else']"
444,"['texture', 'of', 'my', 'skin', 'on', 'my', 'face']"
445,"['have', 'bump', 'on', 'my']"
446,"['on', 'my', 'face', 'and', 'upper', 'arm', 'have']"
447,"['wow', 'what', 'difference']"
448,"['than', 'anything', 'else', 'have', 'tried']"
449,"['and', 'this']"
450,"['moisturizer', 'very', 'thick', 'and', 'will', 'last', 'literally', 'forever']"
451,"['this', 'moisturizer', 'very', 'thick', 'and', 'will', 'last']"
452,"['like', 'this', 'moisturizer', 'very', 'thick', 'and', 'will', 'last']"
453,"['really', 'like', 'this', 'moisturizer']"
454,"['actually', 'huge', 'bottle', 'so', 'it', 'will', 'last', 'age']"
455,"['really', 'like', 'this', 'moisturizer', 'very', 'thick', 'and', 'will']"
456,"['very', 'thick', 'and', 'will', 'last', 'literally', 'forever', 'it']"
457,"['will', 'last', 'age']"
458,"['last', 'literally', 'forever']"
459,"['really', 'like', 'this']"
460,"['stuff', 'is', 'great', 'especially', 'if', 'you', 're', 'eczema']"
461,"['is', 'great', 'especially', 'if', 'you', 're', 'eczema', 'prone']"
462,"['eczema', 'prone', 'like', 'me', 'will', 'continue', 'to', 'repurchase']"
463,"['if', 'you', 're', 'eczema', 'prone', 'like', 'me', 'will']"
464,"['especially', 'if', 'you', 're', 'eczema']"
465,"['re', 'eczema']"
466,"['this', 'stuff', 'is', 'great']"
467,"['prone', 'like', 'me', 'will', 'continue', 'to', 'repurchase', 'this']"
468,"['is', 'great', 'especially', 'if', 'you', 're']"
469,"['if', 'you']"
470,"['never', 'really', 'had', 'issue', 'with', 'acne', 'until', 'using']"
471,"['skin', 'or', 'don', 'want', 'to', 'deal', 'with', 'breakout']"
472,"['if', 'you', 'have', 'acne', 'prone', 'skin']"
473,"['scar', 'easily', 'you', 'can', 'get', 'better', 'moisturizers']"
474,"['with', 'breakout', 'stay', 'away', 'never', 'really', 'had', 'issue']"
475,"['get', 'better', 'moisturizers', 'that', 'don', 'break', 'you', 'out']"
476,"['took', 'me', 'month', 'to', 'get', 'my', 'skin', 'back']"
477,"['using', 'this', 'product', 'it']"
478,"['stay', 'away', 'never']"
479,"['can', 'get']"
480,"['it', 'only', 'my', 'second', 'favorite', 'moisturizing', 'cream', 'but']"
481,"['fab', 'their', 'oatmeal', 'mask', 'is']"
482,"['still', 'creamy', 'texture', 'and', 'it', 'excellent', 'bang', 'for']"
483,"['concept', 'behind', 'fab']"
484,"['have', 'been', 'discontinued']"
485,"['holy', 'grail', 'product', 'that', 'never', 'travel', 'without', 'think']"
486,"['deliver', 'when', 'it', 'come', 'to', 'moisture']"
487,"['star', 'loved', 'the', 'slightly', 'whipped', 'but', 'still']"
488,"['it', 'excellent', 'bang', 'for', 'your', 'buck']"
489,"['when', 'it']"
490,"['love', 'this', 'moisturizer', 'mean', 'would', 'date', 'my', 'ex']"
491,"['when', 'say', 'love', 'this', 'moisturizer']"
492,"['best', 'use', 'it', 'at', 'night', 'with', 'other', 'serum']"
493,"['skin', 'overnight', 'literally', 'obsessed', 'it', 'make', 'my']"
494,"['moisturizer', 'mean']"
495,"['this', 'product', 'that', 'smooth', 'and', 'hydrate', 'my', 'skin']"
496,"['damage', 'on', 'my', 'skin', 'love']"
497,"['acne', 'scar', 'look', 'so', 'much', 'better', 'and', 'heals']"
498,"['ex', 'again', 'for', 'it', 'it', 'the', 'best', 'use']"
499,"['that', 'it', 'is']"
500,"['about', 'my', 'skin', 'combo', 'oily', 'acne', 'prone']"
501,"['breakout', 'my', 'skincare', 'consists', 'of', 'aha']"
502,"['moisturizer', 'dependent', 'on', 'heat', 'humidity', 'and', 'never', 'breakout']"
503,"['use', 'this', 'on', 'my', 'face', 'wham', 'pimple', 'll']"
504,"['out', 'of', 'my', 'lineup', 'of', 'regular', 'moisturizers']"
505,"['night', 'typically', 'use', 'the', 'inky', 'list', 'peptide', 'moisturizer']"
506,"['every', 'single', 'time', 'use', 'it', 'breakout']"
507,"['cosmetic', 'secret', 'sauce', 'or', 'the', 'glow', 'recipe', 'watermelon']"
508,"['week', 'and', 'vitamin', 'the']"
509,"['overpriced', 'and', 'not', 'worth']"
510,"['love', 'this', 'cream', 'my', 'face', 'get', 'extremely', 'dry']"
511,"['sensitive', 'skin', 'and', 'this', 'cream']"
512,"['long', 'feel', 'dry', 'and', 'my', 'skin', 'doesn', 'peel']"
513,"['not', 'irritate', 'my', 'skin', 'my', 'face', 'no']"
514,"['skin', 'use', 'to', 'peel', 'because']"
515,"['get', 'out', 'of', 'the', 'shower']"
516,"['everyday', 'and', 'it', 'helped']"
517,"['lot', 'also', 'have', 'sensitive']"
518,"['love', 'love', 'love']"
519,"['when', 'get']"
520,"['the', 'only', 'thing', 'to', 'help', 'my', 'eczema']"
521,"['only', 'thing', 'to', 'help', 'my', 'eczema']"
522,"['and', 'the', 'only', 'thing', 'to', 'help', 'my', 'eczema']"
523,"['thing', 'to', 'help', 'my', 'eczema']"
524,"['to', 'help', 'my', 'eczema']"
525,"['my', 'eczema']"
526,"['holy', 'grail', 'and', 'the', 'only', 'thing', 'to', 'help']"
527,"['my', 'holy', 'grail', 'and']"
528,"['only', 'thing', 'to']"
529,"['and', 'the']"
530,"['this', 'moisturizer', 'ha', 'been', 'life', 'saver', 'the', 'tube']"
531,"['cold', 'month', 'and', 'this', 'moisturizer', 'ha', 'been', 'life']"
532,"['during', 'the', 'cold', 'month', 'and', 'this', 'moisturizer', 'ha']"
533,"['skin', 'get', 'super', 'dry', 'during', 'the', 'cold', 'month']"
534,"['month', 'and', 'this', 'moisturizer']"
535,"['tube', 'is', 'big', 'enough', 'to', 'last', 'me', 'year']"
536,"['super', 'dry']"
537,"['my', 'skin']"
538,"['to', 'last', 'me', 'year', 'for', 'that', 'price', 'it']"
539,"['get', 'super']"
540,"['staple', 'in', 'my', 'skincare', 'this', 'is', 'the', 'best']"
541,"['staple', 'in', 'my', 'skincare']"
542,"['in', 'my', 'skincare']"
543,"['moisturized', 'skin']"
544,"['my', 'skincare', 'this', 'is', 'the', 'best', 'purchase', 'leaving']"
545,"['staple', 'in', 'my']"
546,"['glowing', 'soft', 'moisturized']"
547,"['the', 'best', 'purchase']"
548,"['me', 'with', 'glowing']"
549,"['in', 'my']"
550,"['this', 'moisturizer', 'isn', 'anything', 'special', 'in', 'my', 'opinion']"
551,"['face', 'started', 'pilling', 'usually', 'don', 'do', 'review']"
552,"['my', 'sunscreen', 'or', 'other', 'product', 'but', 'put']"
553,"['it', 'also', 'pill', 'which', 'is', 'strange']"
554,"['it', 'on', 'by', 'itself', 'and', 'my', 'face']"
555,"['burn', 'like', 'really', 'bad', 'which', 'ha', 'never', 'happened']"
556,"['my', 'opinion', 'but', 'the', 'con']"
557,"['really', 'bad']"
558,"['it', 'is']"
559,"['before', 'and']"
560,"['reviewed', 'this', 'yet', 've', 'been', 'using', 'this', 'moisturizer']"
561,"['moisturizer', 've', 'ever', 'used', 'have', 'dry', 'rosacea']"
562,"['dry', 'skin', 'and', 'redness', 'use']"
563,"['redness', 'use', 'this', 'over', 'josie', 'maran', 'argan', 'milk']"
564,"['it', 'absorbs', 'wonderfully', 'and', 'doesn', 'pill', 'with', 'anything']"
565,"['over', 'serum', 'under', 'spf', 'and']"
566,"['makeup', 'and', 've', 'never', 'had', 'an', 'issue']"
567,"['rosacea', 'prone']"
568,"['since', '2009', 'and', 'it', 'seriously']"
569,"['it', 'will', 'change', 'your', 'life']"
570,"['best', 'moisturizers', 'have', 'ever', 'used', 'the', 'texture', 'is']"
571,"['of', 'the', 'best', 'moisturizers', 'have', 'ever', 'used', 'the']"
572,"['one', 'of', 'the', 'best', 'moisturizers']"
573,"['moisturizers', 'have']"
574,"['oily', 'skin']"
575,"['skin', 'and', 'it', 'wa', 'not', 'too', 'much', 'for']"
576,"['is', 'wonderful', 'and', 'have', 'not', 'come', 'across', 'anything']"
577,"['have', 'ever', 'used']"
578,"['one', 'of', 'the']"
579,"['not', 'too', 'much', 'for', 'me']"
580,"['doesnt', 'even', 'burn', 'when', 'put', 'my', 'tretinoin', 'on']"
581,"['recently', 'changed', 'their', 'formula', 'and', 'now', 'it', 'burn']"
582,"['ultra', 'repair', 'cream', 'for', 'over', 'year']"
583,"['put', 'this', 'on', 'it', 'burn']"
584,"['it', 'doesnt', 'even', 'burn']"
585,"['cream', 'for']"
586,"['ve', 'used', 'the', 'ultra']"
587,"['it', 'doesnt', 'even']"
588,"['for', 'over', 'year', 'and', 'they', 'recently']"
589,"['but', 'the', 'second']"
590,"['use', 'it', 'now', 'for', 'my', 'eczema']"
591,"['for', 'night', 'cream', 'or', 'light', 'for', 'day', 'use']"
592,"['can', 'make', 'it', 'thick', 'for', 'night', 'cream', 'or']"
593,"['use', 'to', 'use', 'it', 'for', 'my', 'face', 'few']"
594,"['eczema', 'patch', 'that', 'get', 'in', 'my', 'chest']"
595,"['chest', 'and', 'body', 'work', 'great', 'it', 'super', 'hydrating']"
596,"['hey', 'exfoliating']"
597,"['face', 'few', 'year', 'ago', 'and', 'worked', 'great']"
598,"['light', 'for', 'day', 'use']"
599,"['work', 'great', 'it', 'super']"
600,"['extremely', 'moisturizing', 'great', 'for', 'winter', 'but', 'little', 'greasy']"
601,"['extremely', 'moisturizing', 'great', 'for']"
602,"['extremely', 'moisturizing', 'great', 'for', 'winter']"
603,"['for', 'winter', 'but', 'little', 'greasy', 'for', 'summer']"
604,"['greasy', 'for', 'summer', 'can', 'be', 'used', 'on', 'irritated']"
605,"['used', 'on', 'irritated', 'skin']"
606,"['little', 'greasy', 'for']"
607,"['for', 'summer', 'can', 'be', 'used', 'on']"
608,"['great', 'for', 'winter']"
609,"['used', 'on']"
610,"['many', 'moisturizers', 'and', 'this', 'one', 'is', 'magical', 'for']"
611,"['layer', 'makeup', 'nicely', 'it', 'doesn', 'have', 'smell']"
612,"['have', 'tried', 'so', 'many', 'moisturizers', 'and']"
613,"['dry', 'and', 'very', 'sensitive', 'skin', 'it', 'just', 'thick']"
614,"['allows', 'you', 'to', 'layer', 'makeup']"
615,"['just', 'thick', 'enough', 'but', 'allows', 'you', 'to']"
616,"['product', 'changed', 'my', 'life', 'have']"
617,"['is', 'just', 'want', 'wa', 'looking', 'for', 'highly', 'recommend']"
618,"['you', 'to']"
619,"['it', 'doesn']"
620,"['pilling', 'off', 'of', 'my', 'skin', 'within', '30', 'minute']"
621,"['when', 'stopped', 'using', 'the', 'moisturizer', 'the', 'consistency', 'of']"
622,"['it', 'oily', 'in', 'the', 'slightest', 'cerave', 'ha']"
623,"['my', 'skin', 'care', 'routine']"
624,"['product', 'off', 'of', 'my', 'skin', 'with', 'napkin']"
625,"['paired', 'it', 'with', 'primer', 'and', 'skin', 'tint', 'in']"
626,"['put', 'it', 'on', 'before', 'makeup']"
627,"['it', 'make', 'your', 'skin', 'feel', 'really', 'good']"
628,"['certain', 'product', 'with', 'it', 'etc', 'none', 'worked']"
629,"['been', 'my', 'holy', 'grail', 'for', 'year', 'and', 'just']"
630,"['moisturizer', 'would', 'say', 'it', 'slightly', 'on', 'the', 'heavy']"
631,"['combo', 'skin', 'have', 'been', 'buying', 'this', 'for', 'year']"
632,"['amazing', 'and', 'calming', 'for', 'my', 'very', 'dry', 'skin']"
633,"['love', 'fab', 'product']"
634,"['the', 'heavy', 'side', 'but', 'not', 'unusable', 'for']"
635,"['any', 'issue', 'with', 'it', 'and', 'decent', 'price']"
636,"['what', 'it', 'is', 'and', 'how', 'much', 'you']"
637,"['is', 'my', 'holy', 'grail']"
638,"['unusable', 'for', 'normal', 'or', 'combo']"
639,"['squalane', 'and', 'marula', 'to', 'it', 'it', 'really']"
640,"['this', 'stuff', 'is', 'incredible', 've', 'suffered', 'from', 'keratosis']"
641,"['nothing', 'ha', 'helped', 'smooth', 'out', 'my', 'arm', 'like']"
642,"['keratosis', 'pilaris']"
643,"['makeup', 'tends', 'to', 'pill', 'if', 'you', 'had', 'kp']"
644,"['recommend', 'this', 'a', 'day', 'cream', 'if', 'you', 'wear']"
645,"['if', 'you', 'had', 'kp', 'give', 'this', 'try']"
646,"['pilaris', 'my']"
647,"['for', 'my', 'face', 'and', 'love', 'it', 'do']"
648,"['am', 'amazed', 'also', 'use', 'it', 'a', 'my']"
649,"['this', 'stuff']"
650,"['my', 'late', 'sixty', 'and', 'have', 'very', 'dry', 'skin']"
651,"['dry', 'skin', 'also']"
652,"['skin', 'from', 'drying', 'out', 'it', 'doe', 'not', 'slough']"
653,"['the', 'only', 'product', 'that', 'keep', 'my', 'parched', 'skin']"
654,"['skin', 'also', 'live', 'in', 'dry', 'climate', 'this']"
655,"['make', 'up', 'have', 'tried', 'many', 'product', 'and', 'this']"
656,"['not', 'slough', 'off', 'when', 'put', 'on', 'make', 'up']"
657,"['skin', 'from']"
658,"['climate', 'this', 'is', 'the', 'only', 'product', 'that', 'keep']"
659,"['love', 'it']"
660,"['reformulated', 'to', 'include', 'essential', 'oil', 'this', 'product']"
661,"['fragrance', 'free', 'so', 'disappointed', 'if', 'you', 'have', 'rosacea']"
662,"['because', 'it', 'no', 'longer', 'fragrance', 'free', 'so', 'disappointed']"
663,"['oil', 'this', 'product', 'is', 'no', 'longer', 'safe', 'for']"
664,"['longer', 'safe', 'for', 'my', 'super', 'sensitive', 'rosacea', 'prone']"
665,"['why', 'did', 'this', 'have', 'to', 'be', 'reformulated', 'to']"
666,"['skin', 'be', 'cautious', 'using', 'this']"
667,"['ve', 'been', 'purchasing', 'this', 'product', 'for']"
668,"['tub', 'of', 'it', 'won', 'be', 'able', 'to', 'use']"
669,"['very', 'sensitive']"
670,"['fair', 'skin', 'and', 'dry', 'out', 'pretty', 'quickly']"
671,"['being', 'very', 'diligent', 'in', 'applying', 'moisturizer', 'always', 'peel']"
672,"['pretty', 'quickly', 'this', 'doe', 'very', 'great', 'job', 'moisturizer']"
673,"['this', 'doe', 'very', 'great', 'job', 'moisturizer', 'my', 'skin']"
674,"['sunburn', 'and', 'used', 'this', 'lotion']"
675,"['surprise', 'didn', 'peel', 'definitely', 'love', 'this', 'product']"
676,"['my', 'skin']"
677,"['pretty', 'fair']"
678,"['being', 'very', 'diligent', 'in']"
679,"['last', 'weekend']"
680,"['product', 'work', 'great', 'for', 'me', 'have', 'normal', 'skin']"
681,"['skin', 'and', 'it', 'great', 'for', 'both', 'night', 'time']"
682,"['normal', 'skin', 'and', 'it', 'great']"
683,"['day', 'time', 'layered', 'with', 'an', 'spf', 'will', 'be']"
684,"['it', 'so', 'cost', 'effective', 'and', 'the', 'product', 'work']"
685,"['it', 'great', 'for', 'both', 'night']"
686,"['how', 'much', 'love', 'this', 'it', 'so', 'cost']"
687,"['the', 'product']"
688,"['me', 'have']"
689,"['be', 'reordering', 'for', 'sure']"
690,"['skin', 'soft', 'this', 'product', 'is', 'not', 'for', 'sensitive']"
691,"['did', 'leave', 'my', 'skin', 'soft', 'this', 'product']"
692,"['the', 'cream', 'gave', 'my', 'skin', 'and', 'almost', 'burning']"
693,"['moisturize', 'my', 'skin']"
694,"['sensation', 'and', 'my', 'face']"
695,"['face', 'would', 'turn', 'blotchy']"
696,"['when', 'did', 'wa', 'excited', 'to', 'try', 'it']"
697,"['this', 'product', 'is', 'not']"
698,"['wanting', 'to', 'purchase', 'this', 'item', 'for', 'year']"
699,"['tried', 'it']"
700,"['eucalyptus', 'oil', 'just', 'ruin', 'the', 'whole', 'moisturizer']"
701,"['repair', 'cream', 'it', 'nicely', 'hydrating', 'moisturizer']"
702,"['understand', 'why', 'fab', 'market', 'this', 'a', 'repair', 'cream']"
703,"['reading', 'sephora', 'review', 'please', 'remove', 'the', 'eucalyptus']"
704,"['decided', 'to', 'stop', 'using', 'it', 'first', 'aid', 'beauty']"
705,"['sensitized', 'and', 'my', 'product', 'have', 'started', 'to', 'sting']"
706,"['sephora', 'review', 'please']"
707,"['bc', 'wa', 'also', 'exfoliating']"
708,"['the', 'job', 'done', 'but', 'the', 'inclusion']"
709,"['any', 'chance', 'you', 're']"
710,"['this', 'is', '10', '10', 'prefer', 'the', 'bottle', 'formulation']"
711,"['formulation', 'over', 'the', 'tub']"
712,"['tub', 'suffer', 'from', 'severe', 'eczema', 'and', 'dry', 'patch']"
713,"['absolutely', 'fabulous', 'for', 'dry', 'sensitive', 'skin', 've']"
714,"['literally', 'healed', 'it', 'in', 'le', 'than']"
715,"['the', 'bottle']"
716,"['10', '10']"
717,"['eye', 'and', 'cheek', 'and', 'this']"
718,"['tried', 'it', 'all', 'and', 'this', 'ha', 'to', 'be']"
719,"['be', 'the', 'best']"
720,"['the', 'best', 'moisturizer', 've', 'ever', 'used']"
721,"['ever', 'used', 'help', 'soothe', 'my', 'acne', 'and', 'moisturizes']"
722,"['help', 'soothe', 'my', 'acne', 'and', 'moisturizes', 'me']"
723,"['moisturizes', 'me', 'without', 'feeling', 'heavy', 'perfect', 'for', 'your']"
724,"['moisturizer', 've', 'ever', 'used', 'help', 'soothe', 'my']"
725,"['for', 'your', 'hand', 'a', 'well', 'couldn', 'recommend']"
726,"['feeling', 'heavy', 'perfect', 'for', 'your', 'hand', 'a']"
727,"['ve', 'ever', 'used']"
728,"['the', 'best']"
729,"['literally', 'the']"
730,"['helped', 'texture', 'and', 'hydration', 'noticeable', 'difference', 'after', 'day']"
731,"['awesome', 'helped', 'texture', 'and', 'hydration', 'noticeable']"
732,"['awesome', 'helped', 'texture', 'and', 'hydration', 'noticeable', 'difference', 'after']"
733,"['helped', 'texture', 'and', 'hydration', 'noticeable', 'difference']"
734,"['helped', 'texture', 'and', 'hydration', 'noticeable']"
735,"['helped', 'texture', 'and', 'hydration']"
736,"['texture', 'and', 'hydration']"
737,"['awesome', 'helped', 'texture', 'and']"
738,"['noticeable', 'difference']"
739,"['difference', 'after']"
740,"['oil', 'of', 'olay', 'at', 'least', 'my', 'skin', 'not']"
741,"['it', 'just', 'the', 'wrong', 'product', 'for', 'my', 'skin']"
742,"['skin', 'not', 'tight', 'with', 'their', 'product']"
743,"['sephora', 'expert', 'for', 'me', 'told']"
744,"['not', 'the', 'product', 'fault', 'but', 'this']"
745,"['dry', 'skin', 'and', 'my', 'age']"
746,"['she', 'recommended', 'this', 'product', 'it', 'just', 'the', 'wrong']"
747,"['dryer', 'and', 'feeling', 'parched', 'll', 'just', 'go', 'back']"
748,"['for', 'me', 'told', 'her', 'had', 'very', 'dry', 'skin']"
749,"['me', 'told']"
750,"['cream', 've', 'ever', 'used', 'a', 'far', 'a', 'feel']"
751,"['how', 'incredibly', 'good', 'it', 'feel', 'on', 'my', 'hand']"
752,"['one', 'of', 'the', 'best', 'cream']"
753,"['it', 'hydrated', 'my', 'skin', 'all', 'that', 'much']"
754,"['on', 'all', 'of', 'my', 'lotion', 'etc', 'post', 'shower']"
755,"['nice', 'a', 'top', 'coat', 'don', 'think', 'it', 'hydrated']"
756,"['do', 'this', 'because', 'it', 'feel', 'so', 'nice']"
757,"['for', 'super', 'long', 'time', 'just', 'use', 'it', 'for']"
758,"['all', 'that', 'much', 'however', 'nor', 'doe', 'it', 'last']"
759,"['after', 've']"
760,"['been', 'using', 'this', 'a', 'night', 'time', 'moisturizer', 'feel']"
761,"['is', 'moisturize', 'occlude']"
762,"['it', 'just', 'plain', 'moisturizer', 'with', 'no', 'frill']"
763,"['oatmeal', 'seems', 'to', 'soften', 'heal', 'blemish', 'mark', 'but']"
764,"['great', 'on', 'the', 'skin', 'very', 'nice', 'ingredient', 'list']"
765,"['occlude', 'and', 'the', 'colloidal', 'oatmeal']"
766,"['formula', 'doesn', 'smell', 'and', 'doesn', 'sweat', 'out', 'like']"
767,"['expensive', 'than', 'most', 'other', 'brand', 'of']"
768,"['have', 'tried', 'and', 'is', 'significantly', 'le']"
769,"['is', 'that', 'it', 'just', 'isn']"
770,"['can', 'finish', 'this', 'it', 'smell', 'like', 'vomit', 'and']"
771,"['it', 'clean', 'my', 'combination', 'skin', 'really', 'wanted']"
772,"['weird', 'waxy', 'coating', 'would', 'not', 'purchase', 'this', 'and']"
773,"['for', 'real', 'can', 'emphasize', 'how', 'bad', 'it', 'smell']"
774,"['the', 'tube', 'the', 'sample', 'size', 'wa', 'fairly', 'decent']"
775,"['this', 'a', 'sample', 'because', 'don', 'think', 'can', 'finish']"
776,"['it', 'on', 'my', 'face', 'and', 'made', 'it', 'through']"
777,"['purchase', 'this', 'and', 'for', 'real', 'can', 'emphasize', 'how']"
778,"['chance', 'slightly', 'holding', 'my', 'breath']"
779,"['notice', 'any', 'result']"
780,"['daily', 'moisturizer']"
781,"['moisturizer', 'live', 'in', 'very', 'dry', 'state', 'this']"
782,"['this', 'is', 'very', 'moisturizing', 'and', 'gentle', 'it', 'is']"
783,"['dry', 'state', 'this', 'is']"
784,"['greasy', 'very', 'great', 'product', 'for', 'the', 'price', 'no']"
785,"['your', 'make', 'up', 'to', 'get', 'the', 'hydration']"
786,"['is', 'my', 'go', 'to', 'daily']"
787,"['it', 'is', 'great', 'to', 'use', 'during']"
788,"['no', 'frill', 'just', 'you', 'get', 'what', 'is']"
789,"['what', 'is', 'advertised']"
790,"['this', 'stuff', 'literally', 'saved', 'my', 'skin', 'had', 'horrible']"
791,"['this', 'helped', 'clear', 'it', 'up', 'no', 'irritating', 'fragrance']"
792,"['fragrance', 'and', 'make', 'your', 'skin']"
793,"['perioral', 'dermatitis', 'around', 'my', 'nose', 'and', 'this', 'helped']"
794,"['nose', 'and', 'this', 'helped', 'clear', 'it', 'up', 'no']"
795,"['make', 'your', 'skin', 'look', 'baby', 'smooth']"
796,"['this', 'stuff']"
797,"['helped', 'clear']"
798,"['make', 'your']"
799,"['up', 'no']"
800,"['have', 'combo', 'dry', 'sensitive', 'skin', 'with', 'occasional', 'perioral']"
801,"['dermatitis', 'wanted', 'something', 'thicker', 'than', 'lotion', 'so', 'tried']"
802,"['moisturizing', 'than', 'my', 'previous', 'lotion', 'buy', 'again']"
803,"['lotion', 'buy', 'again', 'when', 'my', 'eczema', 'is', 'tamed']"
804,"['moisturizing', 'cream', 'mixed', 'with']"
805,"['skintype', 'like', 'mine', 'suggest', 'just', 'using', 'cheaper', 'moisturizing']"
806,"['on', 'your', 'face', 'this', 'is', 'great', 'moisturizer', 'but']"
807,"['wash', 'my', 'face', 'use', 'ha', 'serum', 'then', 'this']"
808,"['inflamed', 'skin', 'open', 'wound', 'on', 'your', 'face', 'this']"
809,"['have', 'the', 'condition', 'around', 'my', 'mouth', 'this', 'sting']"
810,"['good', 'consistency', 'doesn', 'irritate', 'my', 'sensitive', 'skin', 'but']"
811,"['pilling', 'is', 'horrible', 'you', 'can', 'layer', 'this', 'with']"
812,"['sensitive', 'skin', 'but', 'my', 'god', 'the', 'pilling', 'is']"
813,"['good', 'consistency']"
814,"['moisturize', 'a', 'much', 'a', 'thought', 'it', 'would', 'given']"
815,"['feel', 'layer']"
816,"['how', 'thick', 'it', 'is', 'returning']"
817,"['this', 'sitting', 'on', 'top']"
818,"['this', 'with', 'anything']"
819,"['horrible', 'you']"
820,"['this', 'profuct', 'got', 'on', 'sale', 'for', 'black', 'friday']"
821,"['love', 'this', 'profuct', 'got', 'on', 'sale', 'for', 'black']"
822,"['sale', 'definitely', 'recommend']"
823,"['black', 'friday', 'better', 'product', 'for', 'price', 'but', 'if']"
824,"['definitely', 'recommend']"
825,"['if', 'you', 'can', 'get', 'on', 'sale', 'definitely']"
826,"['friday', 'better', 'product', 'for']"
827,"['better', 'product', 'for', 'price', 'but', 'if', 'you', 'can']"
828,"['love', 'this', 'profuct']"
829,"['got', 'on']"
830,"['this', 'is', 'the', 'worst', 'cream', 'have', 'ever', 'used']"
831,"['cream', 'have', 'ever', 'used', 'it', 'irritates', 'my', 'skin']"
832,"['cream', 'have', 'ever', 'used', 'it']"
833,"['stick', 'to', 'kiehls', 'and', 'clinique']"
834,"['used', 'it', 'irritates', 'my', 'skin', 'and', 'doesn', 'provide']"
835,"['my', 'skin', 'and', 'doesn', 'provide', 'any', 'moisture', 'even']"
836,"['it', 'very', 'thick', 'll', 'stick', 'to']"
837,"['have', 'ever']"
838,"['even', 'though', 'it', 'very']"
839,"['this', 'is']"
840,"['love', 'it', 'it', 'so', 'hydrating', 'would', 'definitely', 'recommend']"
841,"['so', 'hydrating', 'would', 'definitely', 'recommend', 'have', 'combination', 'skin']"
842,"['recommend', 'have', 'combination', 'skin']"
843,"['it', 'it', 'so', 'hydrating', 'would', 'definitely', 'recommend', 'have']"
844,"['skin', 'but', 'it', 'never', 'gave', 'me', 'any', 'break']"
845,"['it', 'never', 'gave', 'me', 'any', 'break', 'out']"
846,"['would', 'definitely', 'recommend']"
847,"['would', 'definitely', 'recommend', 'have', 'combination']"
848,"['love', 'it', 'it']"
849,"['gave', 'me']"
850,"['love', 'this', 'product', 'a', 'have', 'super', 'dry', 'skin']"
851,"['pill', 'extremely', 'under', 'any', 'makeup', 'and', 'sunscreen', 'put']"
852,"['product', 'star', 'is', 'that', 'this', 'product', 'pill', 'extremely']"
853,"['skin', 'especially', 'in', 'my', 'zone']"
854,"['sunscreen', 'put', 'on', 'top', 'this', 'is', 'why', 'only']"
855,"['night', 'and', 'it', 'work', 'for']"
856,"['back', 'from', 'giving', 'this', 'product']"
857,"['in', 'my', 'zone', 'my', 'only', 'negative', 'comment', 'that']"
858,"['top', 'this', 'is', 'why', 'only', 'wear', 'it', 'at']"
859,"['love', 'love', 'love']"
860,"['overall', 'very', 'happy', 'with', 'it', 'am', 'not', 'acne']"
861,"['moisturizer', 'due', 'to', 'price', 'this', 'is']"
862,"['had', 'to', 'switch', 'from', 'my', 'last', 'moisturizer', 'due']"
863,"['redness', 'in', 'my', 'check', 'than', 'the', 'last', 'moisturizer']"
864,"['into', 'my', 'skin', 'well', 'but', 'it', 'is']"
865,"['texture', 'doesn', 'feel', 'like', 'it', 'sink']"
866,"['the', 'tiniest', 'white', 'head', 'below', 'my', 'lip']"
867,"['is', 'widely', 'recommended', 'by', 'so', 'many', 'people']"
868,"['on', 'the', 'first', 'day', 'used', 'it']"
869,"['is', 'doing', 'better', 'taking']"
870,"['wanting', 'this', 'moisturizer', 'so', 'bad', 'and', 'when']"
871,"['fact', 'didn', 'like', 'it', 'a', 'body', 'moisturizer', 'either']"
872,"['moisturizing', 'a']"
873,"['know', 'that', 'fab', 'ha', 'other', 'amazing', 'product']"
874,"['friday', 'wa', 'ecstatic', 'unfortunately', 'it', 'wasn', 'a', 'moisturizing']"
875,"['it', 'on', 'sale', 'for', 'black', 'friday', 'wa', 'ecstatic']"
876,"['have', 'it', 'although', 'know', 'some', 'people', 'who', 'love']"
877,"['like', 'it', 'a', 'body']"
878,"['so', 'bad']"
879,"['continue', 'to', 'use']"
880,"['happy', 'with', 'first', 'aid', 'beauty', 'product', 'good', 'quality']"
881,"['am', 'consistently', 'happy', 'with', 'first', 'aid', 'beauty', 'product']"
882,"['happy', 'with', 'first', 'aid', 'beauty', 'product', 'good']"
883,"['first', 'aid', 'beauty', 'product', 'good', 'quality']"
884,"['first', 'aid', 'beauty', 'product', 'good', 'quality', 'doe', 'the']"
885,"['first', 'aid', 'beauty', 'product', 'good']"
886,"['aid', 'beauty', 'product', 'good', 'quality', 'doe', 'the', 'job']"
887,"['product', 'good', 'quality', 'doe', 'the', 'job']"
888,"['am', 'consistently', 'happy', 'with', 'first']"
889,"['doe', 'the', 'job']"
890,"['ve', 'never', 'tried', 'higher', 'end', 'face', 'cream']"
891,"['higher', 'end', 'face', 'cream']"
892,"['tried', 'higher', 'end', 'face', 'cream', 've', 'always', 'used']"
